DisplayStringSequenceId,CountryIds,DisplayStringId
creditCardStrings,,closeButtonAccessiblityName
,,invalidExpiryDate
,,tooManyOperations
,,invalidChallengeCode
,,paymentInstrumentAlreadyAdded
,,challengeCodeExpired
,,validationFailed
,,singleFieldErrorMessage
,,multipleFieldsErrorMessage
profileStrings,,InvalidPostalCode
,,singleFieldErrorMessage
,,multipleFieldsErrorMessage
profileAddressStrings,,InvalidAddress
profileAddressStrings,,InvalidAddressFieldsCombination
profileAddressStrings,,InvalidProperty
profileAddressStrings,,InvalidCity
profileAddressStrings,,InvalidPostalCode
profileAddressStrings,,InvalidRegion
profileAddressStrings,,singleFieldErrorMessage
profileAddressStrings,,multipleFieldsErrorMessage
CommonStrings,,singleFieldErrorMessage
,,multipleFieldsErrorMessage
