PropertyHintId,CountryIds,FeatureNames,DisplayType,PropertyName,DependentPropertyName,DependentPropertyValueRegex,DisplayName,DisplayDescription,IsHidden,IsDisabled,IsHighlighted,IsDefault,IsBack,InputScope,MaskInput,ShowDisplayName,DisplayFormat,DisplayExample,MinLength,MaxLength,DisplayContent,DisplayContentDescription,DisplayHelpSequenceId,DisplayHelpSequenceText,ClientAction,Context,DestinationId,PossibleValues,DisplaySelectionText,SourceUrl,DisplayLogo,SelectType,MaskDisplay,DisplayConditionFunctionName,DataCollectionSource,DataCollectionFilterFunctionName,IsSelectFirstItem,DisplayImage,DisplayHelpPosition,StyleHints
non_sim_mobi_heading,,,heading,,,,,,,,,,,,,,,,,,Add a mobile phone,,,,,,,,,,,,,,,,,,,
non_sim_mobi_phone_operator,,,property,paymentMethodType,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
non_sim_mobi_phone_number,,,property,msisdn,,,Your phone number,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
non_sim_mobi_footer,,,text,,,,,,,,,,,,,,,,,,"When you select Submit, we'll send a code to your phone. Enter it on the next page. That way we'll know it's really you.",,,,,,,,,,,,,,,,,,,
non_sim_mobi_disclaimer,,,text,,,,,,,,,,,,,,,,,,Standard messages rates apply.,,,,,,,,,,,,,,,,,,,
smsChallengeHeading,,,heading,,,,,,,,,,,,,,,,,,Additional verification needed,,,,,,,,,,,,,,,,,,,
smsChallengeText,,,text,,,,,,,,,,,,,,,,,,We texted a verification code to {0}.,,,,,,,,,,,,,,,,,,,
smsChallengeCode,,,property,pin,,,Enter the code,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
smsNewCodeLink,,,hyperlink,,,,,,,,,,,,,,,,,,Send me a new code,,,,restAction,{placeholder for the sending new code sms link},,,,,,,,,,,,,,
alipayBillingAgreementHeading,,,heading,,,,,,,,,,,,,,,,,,Add your Alipay account,,,,,,,,,,,,,,,,,,,
alipayBillingAgreementAccountId,,,property,alipayAccount,,,Alipay Account,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
alipayBillingAgreementPhone,,,property,phone,alipayAccount,[^0-9]{1},Mobile number,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
alipayBillingAgreementfooter,,,text,,,,,,,,,,,,,,,,,,"By selecting Next, you accept the Alipay Terms Of Use.",,,,,,,,,,,,,,,,,,,
idealBillingAgreementHeading,,,heading,,,,,,,,,,,,,,,,,,Pay with iDEAL,,,,,,,,,,,,,,,,,,,
